Compound Name	HT29_Ctrl1	HT29_Ctrl2	HT29_Ctrl3	HT29_Ctrl4	HT29_Ctrl5	HT29_Met1	HT29_Met2	HT29_Met3	HT29_Met4	HT29_Met5	HT29_Met6
Aspartic acid	1.771808431	2.04967742	2.310965586	1.68716286	2.499062822	0.064808322	0.070710606	0.085072009	0.070506469	0.068559007	0.05264366
Asymmetric dimethylarginine	0.114366532	0.185634032	0.202265925	0.144630716	0.218851012	0.039314828	0.041374995	0.051667348	0.035598498	0.03829348	0.032048163
Carnitine	4.722047515	6.352639032	6.191333858	4.256164754	7.536760803	1.255136596	1.636831788	1.639992527	1.207972189	1.403653587	1.130592642
Carnosine	0.010392795	0.012067077	0.015958271	0.013698531	0.020924289	0.006195816	0.008259195	0.007861852	0.006665535	0.005410995	0.006542237
Choline	9.281576186	10.63799845	11.92050862	9.681927815	13.90533733	7.392271021	10.46654116	10.07358925	8.186155769	8.341850801	7.551107469
Citicoline	0.003895895	0.005436186	0.00893177	0.00661256	0.009014248	0.409543888	0.274860616	0.448703969	0.31107766	0.311959596	0.19774601
Citric Acid	0.300381784	0.481496585	0.493892792	0.348921573	0.754559562	0.004699406	0.004474413	0.003885245	0.003320032	0.00298391	0.005359253
Citrulline	0.059244404	0.064641406	0.077475696	0.065068891	0.077846502	0.035479669	0.037245237	0.041211227	0.040160205	0.037166644	0.037288863
Creatine	53.45788469	68.52071937	70.63871751	55.32630258	84.39552426	30.23347528	31.23597817	35.36247083	30.65700342	28.07167788	25.22367767
Creatinine	35.43876835	48.96349514	46.99802897	33.61763887	57.44003105	3.649323278	4.569535407	4.704510701	4.214123539	4.055040118	3.43456906
Cystathionine	0.025667179	0.031019682	0.036479971	0.023313035	0.037922592	0.003525281	0.00384763	0.004589454	0.00346649	0.00407938	0.00341855
Cysteamine	0.003288616	0.004874843	0.003881224	0.004267949	0.007686415	0.001127954	0.001468405	0.001555715	0.001069572	0.000759535	0.000822366
Cysteine	0.018057665	0.025844051	0.039011356	0.020041186	0.035576713	0.007388549	0.008246137	0.009021894	0.005870457	0.006818649	0.003850969
Cystine	0.090387809	0.11838004	0.134242345	0.071518554	0.116305007	0.083092286	0.057777978	0.102519599	0.081330956	0.061316866	0.092336738
